best_fitness:26718.57133125|best_individual:[[4780.00 HP]~[16.32 EM]~[6.48 ER]~[11.08 ATK%]~[14.39 CR]-[311.00 ATK]~[9.33 ATK%]~[39.63 EM]~[18.95 DEF%]~[5.18 ER]-[187.00 EM]~[16.32 HP%]~[39.35 DEF]~[12.43 CD]~[17.51 ATK]-[46.60 Pyro]~[11.66 ER]~[29.18 ATK]~[37.30 EM]~[39.35 DEF]-[35.90 Healing]~[33.07 ATK]~[6.61 CR]~[7.29 DEF%]~[14.57 HP%]]|sum:5777104.77151875|mean:19257.0159050625
best_fitness:26718.57133125|best_individual:[[4780.00 HP]~[2.72 CR]~[18.07 ATK%]~[9.91 HP%]~[6.22 CD]-[311.00 ATK]~[14.57 ATK%]~[9.71 ER]~[5.83 DEF%]~[10.88 CD]-[187.00 EM]~[12.31 ER]~[7.00 CR]~[7.77 CD]~[13.99 ATK%]-[187.00 EM]~[9.91 HP%]~[14.76 CD]~[9.72 CR]~[23.15 DEF]-[62.20 CD]~[13.62 ATK]~[37.30 EM]~[13.85 DEF%]~[13.99 ATK%]]|sum:5797617.08116875|mean:19325.3902705625
best_fitness:26718.57133125|best_individual:[[4780.00 HP]~[2.72 CR]~[18.07 ATK%]~[9.91 HP%]~[6.22 CD]-[311.00 ATK]~[14.57 ATK%]~[9.71 ER]~[5.83 DEF%]~[10.88 CD]-[187.00 EM]~[12.31 ER]~[7.00 CR]~[7.77 CD]~[13.99 ATK%]-[187.00 EM]~[9.91 HP%]~[14.76 CD]~[9.72 CR]~[23.15 DEF]-[62.20 CD]~[13.62 ATK]~[37.30 EM]~[13.85 DEF%]~[13.99 ATK%]]|sum:5810276.943065627|mean:19367.589810218757
best_fitness:26718.57133125|best_individual:[[4780.00 HP]~[60.19 DEF]~[31.13 ATK]~[6.22 CR]~[4.08 ATK%]-[311.00 ATK]~[10.49 ATK%]~[13.21 CD]~[3.89 CR]~[13.99 HP%]-[46.60 ATK%]~[58.28 EM]~[10.93 DEF%]~[9.06 ER]~[16.20 DEF]-[58.30 Physical]~[9.91 HP%]~[6.99 CD]~[3.50 CR]~[66.14 ATK]-[31.10 CR]~[13.99 HP%]~[34.97 EM]~[14.76 CD]~[4.53 ER]]|sum:5809079.842443751|mean:19363.599474812505
best_fitness:26718.57133125|best_individual:[[4780.00 HP]~[60.19 DEF]~[31.13 ATK]~[6.22 CR]~[4.08 ATK%]-[311.00 ATK]~[10.49 ATK%]~[13.21 CD]~[3.89 CR]~[13.99 HP%]-[46.60 ATK%]~[58.28 EM]~[10.93 DEF%]~[9.06 ER]~[16.20 DEF]-[58.30 Physical]~[9.91 HP%]~[6.99 CD]~[3.50 CR]~[66.14 ATK]-[31.10 CR]~[13.99 HP%]~[34.97 EM]~[14.76 CD]~[4.53 ER]]|sum:5754786.354525001|mean:19182.621181750004
best_fitness:26718.57133125|best_individual:[[4780.00 HP]~[60.19 DEF]~[31.13 ATK]~[6.22 CR]~[4.08 ATK%]-[311.00 ATK]~[10.49 ATK%]~[13.21 CD]~[3.89 CR]~[13.99 HP%]-[46.60 ATK%]~[58.28 EM]~[10.93 DEF%]~[9.06 ER]~[16.20 DEF]-[58.30 Physical]~[9.91 HP%]~[6.99 CD]~[3.50 CR]~[66.14 ATK]-[31.10 CR]~[13.99 HP%]~[34.97 EM]~[14.76 CD]~[4.53 ER]]|sum:5738365.987021875|mean:19127.886623406248
best_fitness:26718.57133125|best_individual:[[4780.00 HP]~[13.85 DEF%]~[41.96 EM]~[5.83 CR]~[8.74 HP%]-[311.00 ATK]~[20.83 DEF]~[5.25 HP%]~[18.66 CD]~[18.79 ER]-[58.30 DEF%]~[29.18 ATK]~[10.50 CR]~[46.62 EM]~[23.15 DEF]-[58.30 Physical]~[8.74 ATK%]~[6.99 CD]~[9.32 HP%]~[18.95 DEF%]-[35.90 Healing]~[4.53 ER]~[53.23 DEF]~[7.39 CR]~[29.18 ATK]]|sum:5781676.441125|mean:19272.25480375
best_fitness:26718.57133125|best_individual:[[4780.00 HP]~[8.74 HP%]~[27.24 ATK]~[15.74 ATK%]~[6.48 ER]-[311.00 ATK]~[37.03 DEF]~[15.74 ATK%]~[6.22 CD]~[39.63 EM]-[51.80 ER]~[17.51 ATK]~[16.33 ATK%]~[9.32 HP%]~[6.22 CR]-[58.30 DEF%]~[10.50 HP%]~[4.08 ATK%]~[13.22 CR]~[16.20 DEF]-[35.90 Healing]~[10.36 ER]~[13.85 DEF%]~[9.33 HP%]~[6.22 CR]]|sum:5793292.563093751|mean:19310.975210312503
best_fitness:26718.57133125|best_individual:[[4780.00 HP]~[8.74 HP%]~[27.24 ATK]~[15.74 ATK%]~[6.48 ER]-[311.00 ATK]~[37.03 DEF]~[15.74 ATK%]~[6.22 CD]~[39.63 EM]-[51.80 ER]~[17.51 ATK]~[16.33 ATK%]~[9.32 HP%]~[6.22 CR]-[58.30 DEF%]~[10.50 HP%]~[4.08 ATK%]~[13.22 CR]~[16.20 DEF]-[35.90 Healing]~[10.36 ER]~[13.85 DEF%]~[9.33 HP%]~[6.22 CR]]|sum:5799983.39865|mean:19333.2779955
best_fitness:26718.57133125|best_individual:[[4780.00 HP]~[8.74 HP%]~[27.24 ATK]~[15.74 ATK%]~[6.48 ER]-[311.00 ATK]~[37.03 DEF]~[15.74 ATK%]~[6.22 CD]~[39.63 EM]-[51.80 ER]~[17.51 ATK]~[16.33 ATK%]~[9.32 HP%]~[6.22 CR]-[58.30 DEF%]~[10.50 HP%]~[4.08 ATK%]~[13.22 CR]~[16.20 DEF]-[35.90 Healing]~[10.36 ER]~[13.85 DEF%]~[9.33 HP%]~[6.22 CR]]|sum:5782276.575740626|mean:19274.255252468753
