best_fitness:21423.12501977438|best_individual:[[4780.00 HP]~[11.66 ATK%]~[13.98 CD]~[7.00 CR]~[11.08 HP%]-[311.00 ATK]~[14.57 HP%]~[6.61 CR]~[11.08 ATK%]~[20.83 DEF]-[46.60 HP%]~[5.25 ATK%]~[9.72 CR]~[23.15 DEF]~[19.68 DEF%]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[13.21 CD]~[8.74 ATK%]~[11.66 DEF%]~[9.91 HP%]]|sum:3289635.8008253304|mean:10965.452669417768
best_fitness:21423.12501977438|best_individual:[[4780.00 HP]~[11.66 ATK%]~[13.98 CD]~[7.00 CR]~[11.08 HP%]-[311.00 ATK]~[14.57 HP%]~[6.61 CR]~[11.08 ATK%]~[20.83 DEF]-[46.60 HP%]~[5.25 ATK%]~[9.72 CR]~[23.15 DEF]~[19.68 DEF%]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[13.21 CD]~[8.74 ATK%]~[11.66 DEF%]~[9.91 HP%]]|sum:3264723.7521236883|mean:10882.412507078961
best_fitness:21423.12501977438|best_individual:[[4780.00 HP]~[11.66 ATK%]~[13.98 CD]~[7.00 CR]~[11.08 HP%]-[311.00 ATK]~[14.57 HP%]~[6.61 CR]~[11.08 ATK%]~[20.83 DEF]-[46.60 HP%]~[5.25 ATK%]~[9.72 CR]~[23.15 DEF]~[19.68 DEF%]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[13.21 CD]~[8.74 ATK%]~[11.66 DEF%]~[9.91 HP%]]|sum:3330837.5860823826|mean:11102.791953607943
best_fitness:21423.12501977438|best_individual:[[4780.00 HP]~[11.66 ATK%]~[13.98 CD]~[7.00 CR]~[11.08 HP%]-[311.00 ATK]~[14.57 HP%]~[6.61 CR]~[11.08 ATK%]~[20.83 DEF]-[46.60 HP%]~[5.25 ATK%]~[9.72 CR]~[23.15 DEF]~[19.68 DEF%]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[13.21 CD]~[8.74 ATK%]~[11.66 DEF%]~[9.91 HP%]]|sum:3322492.018311507|mean:11074.973394371691
best_fitness:22353.988064266854|best_individual:[[4780.00 HP]~[13.61 CR]~[18.65 EM]~[13.98 CD]~[5.83 DEF%]-[311.00 ATK]~[4.08 HP%]~[9.33 ATK%]~[13.99 CD]~[10.11 CR]-[46.60 HP%]~[6.99 CD]~[39.35 DEF]~[14.24 ER]~[6.61 CR]-[46.60 Pyro]~[14.76 CD]~[19.45 ATK]~[3.50 CR]~[20.40 ATK%]-[31.10 CR]~[5.25 HP%]~[4.08 ATK%]~[50.58 ATK]~[21.76 CD]]|sum:3311206.613675276|mean:11037.355378917586
best_fitness:22672.78755755768|best_individual:[[4780.00 HP]~[11.66 ATK%]~[13.98 CD]~[7.00 CR]~[11.08 HP%]-[311.00 ATK]~[4.08 HP%]~[9.33 ATK%]~[13.99 CD]~[10.11 CR]-[46.60 HP%]~[5.25 ATK%]~[9.72 CR]~[23.15 DEF]~[19.68 DEF%]-[46.60 Pyro]~[14.76 CD]~[19.45 ATK]~[3.50 CR]~[20.40 ATK%]-[31.10 CR]~[5.25 HP%]~[4.08 ATK%]~[50.58 ATK]~[21.76 CD]]|sum:3282437.349415627|mean:10941.457831385424
best_fitness:22903.41247261883|best_individual:[[4780.00 HP]~[13.61 CR]~[18.65 EM]~[13.98 CD]~[5.83 DEF%]-[311.00 ATK]~[4.08 HP%]~[9.33 ATK%]~[13.99 CD]~[10.11 CR]-[46.60 HP%]~[5.25 ATK%]~[9.72 CR]~[23.15 DEF]~[19.68 DEF%]-[46.60 Pyro]~[20.98 CD]~[18.65 EM]~[43.98 DEF]~[7.39 CR]-[31.10 CR]~[5.25 HP%]~[4.08 ATK%]~[50.58 ATK]~[21.76 CD]]|sum:3280426.7528572516|mean:10934.755842857505
best_fitness:22903.41247261883|best_individual:[[4780.00 HP]~[17.49 ER]~[18.65 EM]~[9.91 HP%]~[31.13 ATK]-[311.00 ATK]~[10.49 HP%]~[14.57 ATK%]~[46.30 DEF]~[5.83 ER]-[187.00 EM]~[9.91 HP%]~[44.75 ATK]~[5.10 DEF%]~[13.21 CD]-[46.60 Geo]~[5.83 CR]~[20.98 CD]~[9.33 ATK%]~[6.48 ER]-[187.00 EM]~[32.40 DEF]~[14.78 CR]~[19.45 ATK]~[5.10 DEF%]]|sum:3222914.831288106|mean:10743.04943762702
best_fitness:22903.41247261883|best_individual:[[4780.00 HP]~[17.49 ER]~[18.65 EM]~[9.91 HP%]~[31.13 ATK]-[311.00 ATK]~[10.49 HP%]~[14.57 ATK%]~[46.30 DEF]~[5.83 ER]-[187.00 EM]~[9.91 HP%]~[44.75 ATK]~[5.10 DEF%]~[13.21 CD]-[46.60 Geo]~[5.83 CR]~[20.98 CD]~[9.33 ATK%]~[6.48 ER]-[187.00 EM]~[32.40 DEF]~[14.78 CR]~[19.45 ATK]~[5.10 DEF%]]|sum:3249191.110428366|mean:10830.63703476122
best_fitness:22903.41247261883|best_individual:[[4780.00 HP]~[17.49 ER]~[18.65 EM]~[9.91 HP%]~[31.13 ATK]-[311.00 ATK]~[10.49 HP%]~[14.57 ATK%]~[46.30 DEF]~[5.83 ER]-[187.00 EM]~[9.91 HP%]~[44.75 ATK]~[5.10 DEF%]~[13.21 CD]-[46.60 Geo]~[5.83 CR]~[20.98 CD]~[9.33 ATK%]~[6.48 ER]-[187.00 EM]~[32.40 DEF]~[14.78 CR]~[19.45 ATK]~[5.10 DEF%]]|sum:3258053.1803270346|mean:10860.177267756782
