best_fitness:21154.497680397722|best_individual:[[4780.00 HP]~[62.50 DEF]~[11.66 ATK%]~[9.91 HP%]~[5.83 ER]-[311.00 ATK]~[18.22 DEF%]~[3.11 CR]~[15.54 CD]~[10.49 ATK%]-[187.00 EM]~[7.00 CR]~[15.16 ATK%]~[5.10 DEF%]~[12.96 ER]-[46.60 Pyro]~[18.52 DEF]~[8.16 HP%]~[10.11 CR]~[44.29 EM]-[46.60 HP%]~[9.06 ER]~[21.75 CD]~[7.29 DEF%]~[29.18 ATK]]|sum:3176852.3095389092|mean:10589.50769846303
best_fitness:21154.497680397722|best_individual:[[4780.00 HP]~[62.50 DEF]~[11.66 ATK%]~[9.91 HP%]~[5.83 ER]-[311.00 ATK]~[18.22 DEF%]~[3.11 CR]~[15.54 CD]~[10.49 ATK%]-[187.00 EM]~[7.00 CR]~[15.16 ATK%]~[5.10 DEF%]~[12.96 ER]-[46.60 Pyro]~[18.52 DEF]~[8.16 HP%]~[10.11 CR]~[44.29 EM]-[46.60 HP%]~[9.06 ER]~[21.75 CD]~[7.29 DEF%]~[29.18 ATK]]|sum:3147162.863510523|mean:10490.54287836841
best_fitness:21396.477374606286|best_individual:[[4780.00 HP]~[4.66 HP%]~[20.98 CD]~[6.61 CR]~[8.74 ATK%]-[311.00 ATK]~[10.11 CR]~[7.77 CD]~[32.64 EM]~[9.91 ATK%]-[46.60 HP%]~[9.33 CR]~[6.22 CD]~[50.92 DEF]~[20.98 EM]-[46.60 Pyro]~[4.66 HP%]~[55.55 DEF]~[8.94 CR]~[5.25 ATK%]-[31.10 CR]~[5.25 HP%]~[28.57 ATK%]~[6.22 CD]~[16.20 DEF]]|sum:3147223.250119747|mean:10490.744167065825
best_fitness:21396.477374606286|best_individual:[[4780.00 HP]~[4.66 HP%]~[20.98 CD]~[6.61 CR]~[8.74 ATK%]-[311.00 ATK]~[10.11 CR]~[7.77 CD]~[32.64 EM]~[9.91 ATK%]-[46.60 HP%]~[9.33 CR]~[6.22 CD]~[50.92 DEF]~[20.98 EM]-[46.60 Pyro]~[4.66 HP%]~[55.55 DEF]~[8.94 CR]~[5.25 ATK%]-[31.10 CR]~[5.25 HP%]~[28.57 ATK%]~[6.22 CD]~[16.20 DEF]]|sum:3127604.459911102|mean:10425.348199703672
best_fitness:21396.477374606286|best_individual:[[4780.00 HP]~[17.49 ER]~[18.65 EM]~[9.91 HP%]~[31.13 ATK]-[311.00 ATK]~[5.83 ATK%]~[9.33 CR]~[44.29 EM]~[11.66 HP%]-[46.60 ATK%]~[41.67 DEF]~[15.54 ER]~[9.32 HP%]~[20.98 EM]-[58.30 Physical]~[9.32 ATK%]~[2.72 CR]~[13.40 HP%]~[10.36 ER]-[62.20 CD]~[50.58 ATK]~[13.85 DEF%]~[7.00 CR]~[18.52 DEF]]|sum:3123181.655694644|mean:10410.605518982147
best_fitness:21396.477374606286|best_individual:[[4780.00 HP]~[17.49 ER]~[18.65 EM]~[9.91 HP%]~[31.13 ATK]-[311.00 ATK]~[5.83 ATK%]~[9.33 CR]~[44.29 EM]~[11.66 HP%]-[46.60 ATK%]~[41.67 DEF]~[15.54 ER]~[9.32 HP%]~[20.98 EM]-[58.30 Physical]~[9.32 ATK%]~[2.72 CR]~[13.40 HP%]~[10.36 ER]-[62.20 CD]~[50.58 ATK]~[13.85 DEF%]~[7.00 CR]~[18.52 DEF]]|sum:3172873.444608148|mean:10576.244815360495
best_fitness:21396.477374606286|best_individual:[[4780.00 HP]~[17.49 ER]~[18.65 EM]~[9.91 HP%]~[31.13 ATK]-[311.00 ATK]~[5.83 ATK%]~[9.33 CR]~[44.29 EM]~[11.66 HP%]-[46.60 ATK%]~[41.67 DEF]~[15.54 ER]~[9.32 HP%]~[20.98 EM]-[58.30 Physical]~[9.32 ATK%]~[2.72 CR]~[13.40 HP%]~[10.36 ER]-[62.20 CD]~[50.58 ATK]~[13.85 DEF%]~[7.00 CR]~[18.52 DEF]]|sum:3188318.0801768852|mean:10627.726933922952
best_fitness:21396.477374606286|best_individual:[[4780.00 HP]~[17.49 ER]~[18.65 EM]~[9.91 HP%]~[31.13 ATK]-[311.00 ATK]~[5.83 ATK%]~[9.33 CR]~[44.29 EM]~[11.66 HP%]-[46.60 ATK%]~[41.67 DEF]~[15.54 ER]~[9.32 HP%]~[20.98 EM]-[58.30 Physical]~[9.32 ATK%]~[2.72 CR]~[13.40 HP%]~[10.36 ER]-[62.20 CD]~[50.58 ATK]~[13.85 DEF%]~[7.00 CR]~[18.52 DEF]]|sum:3189710.047706567|mean:10632.366825688558
best_fitness:21396.477374606286|best_individual:[[4780.00 HP]~[17.49 ER]~[18.65 EM]~[9.91 HP%]~[31.13 ATK]-[311.00 ATK]~[5.83 ATK%]~[9.33 CR]~[44.29 EM]~[11.66 HP%]-[46.60 ATK%]~[41.67 DEF]~[15.54 ER]~[9.32 HP%]~[20.98 EM]-[58.30 Physical]~[9.32 ATK%]~[2.72 CR]~[13.40 HP%]~[10.36 ER]-[62.20 CD]~[50.58 ATK]~[13.85 DEF%]~[7.00 CR]~[18.52 DEF]]|sum:3171886.8898211536|mean:10572.956299403846
best_fitness:21396.477374606286|best_individual:[[4780.00 HP]~[17.49 ER]~[18.65 EM]~[9.91 HP%]~[31.13 ATK]-[311.00 ATK]~[5.83 ATK%]~[9.33 CR]~[44.29 EM]~[11.66 HP%]-[46.60 ATK%]~[41.67 DEF]~[15.54 ER]~[9.32 HP%]~[20.98 EM]-[58.30 Physical]~[9.32 ATK%]~[2.72 CR]~[13.40 HP%]~[10.36 ER]-[62.20 CD]~[50.58 ATK]~[13.85 DEF%]~[7.00 CR]~[18.52 DEF]]|sum:3161068.832917421|mean:10536.896109724737
