best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[9.33 ATK%]~[20.20 CD]~[33.07 ATK]~[16.32 EM]-[311.00 ATK]~[3.89 CR]~[65.27 EM]~[20.83 DEF]~[19.43 CD]-[46.60 ATK%]~[67.13 DEF]~[15.56 ATK]~[41.96 EM]~[9.91 HP%]-[187.00 EM]~[33.07 ATK]~[9.71 ER]~[2.72 CR]~[15.16 HP%]-[46.60 HP%]~[10.88 CD]~[13.85 DEF%]~[39.63 EM]~[5.83 CR]]|sum:5746587.260906251|mean:19155.290869687506
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[34.97 EM]~[8.16 ATK%]~[13.99 CD]~[6.22 CR]-[311.00 ATK]~[16.03 DEF%]~[23.31 EM]~[23.15 DEF]~[19.42 CD]-[46.60 HP%]~[60.31 ATK]~[5.83 ER]~[4.08 ATK%]~[41.67 DEF]-[46.60 Cryo]~[13.12 DEF%]~[14.76 CD]~[6.61 CR]~[37.30 EM]-[58.30 DEF%]~[60.61 EM]~[16.20 DEF]~[5.83 ATK%]~[19.42 CD]]|sum:5708678.652065625|mean:19028.928840218752
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[34.97 EM]~[8.16 ATK%]~[13.99 CD]~[6.22 CR]-[311.00 ATK]~[16.03 DEF%]~[23.31 EM]~[23.15 DEF]~[19.42 CD]-[46.60 HP%]~[60.31 ATK]~[5.83 ER]~[4.08 ATK%]~[41.67 DEF]-[46.60 Cryo]~[13.12 DEF%]~[14.76 CD]~[6.61 CR]~[37.30 EM]-[58.30 DEF%]~[60.61 EM]~[16.20 DEF]~[5.83 ATK%]~[19.42 CD]]|sum:5696758.977318751|mean:18989.196591062504
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[9.33 HP%]~[11.01 ER]~[64.82 DEF]~[17.51 ATK]-[311.00 ATK]~[7.29 DEF%]~[7.77 CD]~[81.59 EM]~[7.00 CR]-[46.60 HP%]~[6.99 CD]~[39.35 DEF]~[14.24 ER]~[6.61 CR]-[46.60 Electro]~[16.03 DEF%]~[17.51 ATK]~[11.08 ATK%]~[41.96 EM]-[46.60 HP%]~[48.63 ATK]~[2.72 CR]~[39.63 EM]~[39.35 DEF]]|sum:5717658.4910343755|mean:19058.86163678125
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[9.33 HP%]~[11.01 ER]~[64.82 DEF]~[17.51 ATK]-[311.00 ATK]~[7.29 DEF%]~[7.77 CD]~[81.59 EM]~[7.00 CR]-[46.60 HP%]~[6.99 CD]~[39.35 DEF]~[14.24 ER]~[6.61 CR]-[46.60 Electro]~[16.03 DEF%]~[17.51 ATK]~[11.08 ATK%]~[41.96 EM]-[46.60 HP%]~[48.63 ATK]~[2.72 CR]~[39.63 EM]~[39.35 DEF]]|sum:5720247.878615625|mean:19067.49292871875
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[2.72 CR]~[24.86 CD]~[41.96 EM]~[15.56 ATK]-[311.00 ATK]~[5.10 DEF%]~[4.53 ER]~[21.57 ATK%]~[10.50 HP%]-[46.60 ATK%]~[14.89 ER]~[41.67 DEF]~[38.90 ATK]~[3.50 CR]-[46.60 Hydro]~[5.25 HP%]~[33.07 ATK]~[10.50 CR]~[39.63 EM]-[62.20 CD]~[8.74 HP%]~[16.32 EM]~[16.76 DEF%]~[6.61 CR]]|sum:5735615.634084376|mean:19118.71878028125
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[9.33 ATK%]~[12.44 CD]~[18.22 DEF%]~[20.83 DEF]-[311.00 ATK]~[5.83 ER]~[7.78 CR]~[10.20 DEF%]~[13.99 HP%]-[46.60 ATK%]~[10.93 DEF%]~[55.55 DEF]~[11.66 CD]~[15.56 ATK]-[46.60 Hydro]~[20.07 ER]~[5.44 CD]~[4.66 HP%]~[39.63 EM]-[31.10 CR]~[5.25 HP%]~[31.13 ATK]~[16.76 DEF%]~[12.31 ER]]|sum:5723614.209215625|mean:19078.71403071875
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[17.48 ATK%]~[6.22 CD]~[39.63 EM]~[16.20 DEF]-[311.00 ATK]~[10.49 HP%]~[6.61 CR]~[4.53 ER]~[60.18 DEF]-[46.60 ATK%]~[2.72 CR]~[9.71 ER]~[10.49 HP%]~[20.98 CD]-[187.00 EM]~[14.57 ATK%]~[6.56 DEF%]~[11.08 HP%]~[36.96 ATK]-[46.60 ATK%]~[6.99 CD]~[16.32 EM]~[8.74 HP%]~[18.77 ER]]|sum:5698369.898325001|mean:18994.566327750003
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[13.85 DEF%]~[41.96 EM]~[5.83 CR]~[8.74 HP%]-[311.00 ATK]~[5.83 CR]~[60.61 EM]~[5.83 DEF%]~[34.72 DEF]-[46.60 ATK%]~[18.65 EM]~[90.28 DEF]~[11.66 ER]~[6.99 CD]-[46.60 Geo]~[50.58 ATK]~[39.63 EM]~[5.83 HP%]~[37.04 DEF]-[31.10 CR]~[11.01 ER]~[33.07 ATK]~[18.65 CD]~[20.83 DEF]]|sum:5706907.399425|mean:19023.02466475
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[13.40 ATK%]~[20.98 EM]~[17.88 CD]~[5.83 DEF%]-[311.00 ATK]~[2.72 CR]~[20.20 CD]~[6.56 DEF%]~[60.18 DEF]-[58.30 DEF%]~[10.50 HP%]~[44.29 EM]~[41.67 DEF]~[13.98 CD]-[46.60 Geo]~[9.33 ATK%]~[16.91 HP%]~[13.62 ATK]~[13.21 CD]-[187.00 EM]~[13.62 ATK]~[5.25 ATK%]~[20.07 ER]~[10.20 DEF%]]|sum:5720696.553703126|mean:19068.988512343753
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[5.83 ATK%]~[5.83 CR]~[32.40 DEF]~[48.96 EM]-[311.00 ATK]~[41.66 DEF]~[23.31 EM]~[10.89 CR]~[8.74 ATK%]-[51.80 ER]~[18.65 EM]~[33.07 ATK]~[5.25 ATK%]~[25.64 CD]-[46.60 HP%]~[18.65 ATK%]~[3.50 CR]~[41.96 EM]~[20.83 DEF]-[62.20 CD]~[20.83 DEF]~[23.31 EM]~[8.74 HP%]~[19.23 ATK%]]|sum:5767005.145996876|mean:19223.350486656254
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[5.83 ATK%]~[5.83 CR]~[32.40 DEF]~[48.96 EM]-[311.00 ATK]~[41.66 DEF]~[23.31 EM]~[10.89 CR]~[8.74 ATK%]-[51.80 ER]~[18.65 EM]~[33.07 ATK]~[5.25 ATK%]~[25.64 CD]-[46.60 HP%]~[18.65 ATK%]~[3.50 CR]~[41.96 EM]~[20.83 DEF]-[62.20 CD]~[20.83 DEF]~[23.31 EM]~[8.74 HP%]~[19.23 ATK%]]|sum:5814722.50201875|mean:19382.4083400625
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[20.98 EM]~[10.50 ATK%]~[21.57 HP%]~[6.22 CD]-[311.00 ATK]~[10.20 DEF%]~[5.25 ATK%]~[16.19 ER]~[12.43 CD]-[187.00 EM]~[20.83 DEF]~[17.51 ATK]~[9.72 CR]~[20.98 CD]-[58.30 Physical]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]~[9.91 ATK%]-[46.60 ATK%]~[36.96 ATK]~[39.63 EM]~[20.83 DEF]~[18.22 DEF%]]|sum:5784823.503956251|mean:19282.7450131875
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[4.53 ER]~[20.41 DEF%]~[6.99 CD]~[55.95 EM]-[311.00 ATK]~[11.08 HP%]~[55.55 DEF]~[11.08 ATK%]~[7.77 CD]-[46.60 ATK%]~[6.48 ER]~[12.43 CD]~[17.51 ATK]~[81.59 EM]-[46.60 Hydro]~[5.83 HP%]~[11.66 DEF%]~[2.72 CR]~[76.38 DEF]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5744281.780725|mean:19147.60593575
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[4.53 ER]~[20.41 DEF%]~[6.99 CD]~[55.95 EM]-[311.00 ATK]~[11.08 HP%]~[55.55 DEF]~[11.08 ATK%]~[7.77 CD]-[46.60 ATK%]~[6.48 ER]~[12.43 CD]~[17.51 ATK]~[81.59 EM]-[46.60 Hydro]~[5.83 HP%]~[11.66 DEF%]~[2.72 CR]~[76.38 DEF]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5756374.46154375|mean:19187.9148718125
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[11.66 HP%]~[15.74 ATK%]~[16.32 EM]~[31.13 ATK]-[311.00 ATK]~[11.01 ER]~[11.28 CR]~[8.74 HP%]~[5.44 CD]-[46.60 ATK%]~[18.52 DEF]~[8.74 HP%]~[20.41 DEF%]~[44.29 EM]-[46.60 Hydro]~[41.96 EM]~[12.39 DEF%]~[10.11 CR]~[23.15 DEF]-[31.10 CR]~[19.68 DEF%]~[10.36 ER]~[20.83 DEF]~[36.96 ATK]]|sum:5767605.2806125|mean:19225.350935375
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[11.66 HP%]~[15.74 ATK%]~[16.32 EM]~[31.13 ATK]-[311.00 ATK]~[11.01 ER]~[11.28 CR]~[8.74 HP%]~[5.44 CD]-[46.60 ATK%]~[18.52 DEF]~[8.74 HP%]~[20.41 DEF%]~[44.29 EM]-[46.60 Hydro]~[41.96 EM]~[12.39 DEF%]~[10.11 CR]~[23.15 DEF]-[31.10 CR]~[19.68 DEF%]~[10.36 ER]~[20.83 DEF]~[36.96 ATK]]|sum:5720275.762378125|mean:19067.58587459375
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[44.29 EM]~[19.81 ATK%]~[5.44 CD]~[6.56 DEF%]-[311.00 ATK]~[18.22 DEF%]~[57.87 DEF]~[5.83 HP%]~[6.22 CD]-[187.00 EM]~[9.33 HP%]~[18.95 DEF%]~[7.39 CR]~[5.25 ATK%]-[58.30 DEF%]~[5.25 HP%]~[12.83 CR]~[33.07 ATK]~[4.53 ER]-[46.60 HP%]~[6.56 DEF%]~[50.58 ATK]~[39.35 DEF]~[13.21 CD]]|sum:5768756.753259376|mean:19229.18917753125
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[44.29 EM]~[19.81 ATK%]~[5.44 CD]~[6.56 DEF%]-[311.00 ATK]~[18.22 DEF%]~[57.87 DEF]~[5.83 HP%]~[6.22 CD]-[187.00 EM]~[9.33 HP%]~[18.95 DEF%]~[7.39 CR]~[5.25 ATK%]-[58.30 DEF%]~[5.25 HP%]~[12.83 CR]~[33.07 ATK]~[4.53 ER]-[46.60 HP%]~[6.56 DEF%]~[50.58 ATK]~[39.35 DEF]~[13.21 CD]]|sum:5723490.6334500015|mean:19078.302111500005
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[44.29 EM]~[19.81 ATK%]~[5.44 CD]~[6.56 DEF%]-[311.00 ATK]~[18.22 DEF%]~[57.87 DEF]~[5.83 HP%]~[6.22 CD]-[187.00 EM]~[9.33 HP%]~[18.95 DEF%]~[7.39 CR]~[5.25 ATK%]-[58.30 DEF%]~[5.25 HP%]~[12.83 CR]~[33.07 ATK]~[4.53 ER]-[46.60 HP%]~[6.56 DEF%]~[50.58 ATK]~[39.35 DEF]~[13.21 CD]]|sum:5720357.512500001|mean:19067.858375000003
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[44.29 EM]~[19.81 ATK%]~[5.44 CD]~[6.56 DEF%]-[311.00 ATK]~[18.22 DEF%]~[57.87 DEF]~[5.83 HP%]~[6.22 CD]-[187.00 EM]~[9.33 HP%]~[18.95 DEF%]~[7.39 CR]~[5.25 ATK%]-[58.30 DEF%]~[5.25 HP%]~[12.83 CR]~[33.07 ATK]~[4.53 ER]-[46.60 HP%]~[6.56 DEF%]~[50.58 ATK]~[39.35 DEF]~[13.21 CD]]|sum:5742437.016346876|mean:19141.456721156253
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[44.29 EM]~[19.81 ATK%]~[5.44 CD]~[6.56 DEF%]-[311.00 ATK]~[18.22 DEF%]~[57.87 DEF]~[5.83 HP%]~[6.22 CD]-[187.00 EM]~[9.33 HP%]~[18.95 DEF%]~[7.39 CR]~[5.25 ATK%]-[58.30 DEF%]~[5.25 HP%]~[12.83 CR]~[33.07 ATK]~[4.53 ER]-[46.60 HP%]~[6.56 DEF%]~[50.58 ATK]~[39.35 DEF]~[13.21 CD]]|sum:5768711.759006251|mean:19229.039196687503
