best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[29.18 ATK]~[5.83 DEF%]~[53.62 EM]~[11.66 ER]-[311.00 ATK]~[5.25 HP%]~[15.16 ATK%]~[60.61 EM]~[5.83 DEF%]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 HP%]~[53.23 DEF]~[15.56 ATK]~[18.65 EM]~[9.33 CR]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5812970.89475625|mean:19376.5696491875
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[29.18 ATK]~[5.83 DEF%]~[53.62 EM]~[11.66 ER]-[311.00 ATK]~[5.25 HP%]~[15.16 ATK%]~[60.61 EM]~[5.83 DEF%]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 HP%]~[53.23 DEF]~[15.56 ATK]~[18.65 EM]~[9.33 CR]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5844610.726809376|mean:19482.03575603125
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[29.18 ATK]~[5.83 DEF%]~[53.62 EM]~[11.66 ER]-[311.00 ATK]~[5.25 HP%]~[15.16 ATK%]~[60.61 EM]~[5.83 DEF%]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 HP%]~[53.23 DEF]~[15.56 ATK]~[18.65 EM]~[9.33 CR]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5816994.394940626|mean:19389.98131646875
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[29.18 ATK]~[5.83 DEF%]~[53.62 EM]~[11.66 ER]-[311.00 ATK]~[5.25 HP%]~[15.16 ATK%]~[60.61 EM]~[5.83 DEF%]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 HP%]~[53.23 DEF]~[15.56 ATK]~[18.65 EM]~[9.33 CR]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5794772.93739375|mean:19315.9097913125
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[29.18 ATK]~[5.83 DEF%]~[53.62 EM]~[11.66 ER]-[311.00 ATK]~[5.25 HP%]~[15.16 ATK%]~[60.61 EM]~[5.83 DEF%]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 HP%]~[53.23 DEF]~[15.56 ATK]~[18.65 EM]~[9.33 CR]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5817221.90109375|mean:19390.7396703125
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[29.18 ATK]~[5.83 DEF%]~[53.62 EM]~[11.66 ER]-[311.00 ATK]~[5.25 HP%]~[15.16 ATK%]~[60.61 EM]~[5.83 DEF%]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 HP%]~[53.23 DEF]~[15.56 ATK]~[18.65 EM]~[9.33 CR]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5805638.7326625|mean:19352.129108875
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[29.18 ATK]~[5.83 DEF%]~[53.62 EM]~[11.66 ER]-[311.00 ATK]~[5.25 HP%]~[15.16 ATK%]~[60.61 EM]~[5.83 DEF%]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 HP%]~[53.23 DEF]~[15.56 ATK]~[18.65 EM]~[9.33 CR]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5824098.417159375|mean:19413.661390531248
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[29.18 ATK]~[5.83 DEF%]~[53.62 EM]~[11.66 ER]-[311.00 ATK]~[5.25 HP%]~[15.16 ATK%]~[60.61 EM]~[5.83 DEF%]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 HP%]~[53.23 DEF]~[15.56 ATK]~[18.65 EM]~[9.33 CR]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5822510.3101406265|mean:19408.367700468756
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[29.18 ATK]~[5.83 DEF%]~[53.62 EM]~[11.66 ER]-[311.00 ATK]~[5.25 HP%]~[15.16 ATK%]~[60.61 EM]~[5.83 DEF%]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 HP%]~[53.23 DEF]~[15.56 ATK]~[18.65 EM]~[9.33 CR]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5827333.567331251|mean:19424.445224437502
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[29.18 ATK]~[5.83 DEF%]~[53.62 EM]~[11.66 ER]-[311.00 ATK]~[5.25 HP%]~[15.16 ATK%]~[60.61 EM]~[5.83 DEF%]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 HP%]~[53.23 DEF]~[15.56 ATK]~[18.65 EM]~[9.33 CR]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5883625.180321876|mean:19612.08393440625
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[29.18 ATK]~[5.83 DEF%]~[53.62 EM]~[11.66 ER]-[311.00 ATK]~[5.25 HP%]~[15.16 ATK%]~[60.61 EM]~[5.83 DEF%]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 HP%]~[53.23 DEF]~[15.56 ATK]~[18.65 EM]~[9.33 CR]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5842021.97295|mean:19473.4065765
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[29.18 ATK]~[5.83 DEF%]~[53.62 EM]~[11.66 ER]-[311.00 ATK]~[5.25 HP%]~[15.16 ATK%]~[60.61 EM]~[5.83 DEF%]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 HP%]~[53.23 DEF]~[15.56 ATK]~[18.65 EM]~[9.33 CR]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5843089.794309375|mean:19476.965981031248
