best_fitness:26939.740265625|best_individual:[[4780.00 HP]~[5.44 CR]~[5.25 HP%]~[13.59 ER]~[37.30 EM]-[311.00 ATK]~[8.16 HP%]~[53.62 EM]~[11.08 ATK%]~[5.10 DEF%]-[51.80 ER]~[60.18 DEF]~[17.49 DEF%]~[13.62 ATK]~[6.99 CD]-[46.60 Electro]~[33.07 ATK]~[4.53 ER]~[13.99 CD]~[62.94 EM]-[46.60 ATK%]~[37.03 DEF]~[58.28 EM]~[11.66 ER]~[4.66 HP%]]|sum:5763708.524803125|mean:19212.361749343752
best_fitness:26939.740265625|best_individual:[[4780.00 HP]~[50.92 DEF]~[9.72 CR]~[13.62 ATK]~[20.98 EM]-[311.00 ATK]~[8.16 ATK%]~[41.96 EM]~[12.39 DEF%]~[43.98 DEF]-[46.60 ATK%]~[3.89 CR]~[75.86 ATK]~[8.74 HP%]~[5.83 ER]-[58.30 Physical]~[20.98 EM]~[53.24 DEF]~[4.53 ER]~[14.57 ATK%]-[46.60 ATK%]~[3.50 CR]~[18.95 DEF%]~[17.49 ER]~[7.77 CD]]|sum:5778842.436900001|mean:19262.808123000003
best_fitness:26939.740265625|best_individual:[[4780.00 HP]~[50.92 DEF]~[9.72 CR]~[13.62 ATK]~[20.98 EM]-[311.00 ATK]~[8.16 ATK%]~[41.96 EM]~[12.39 DEF%]~[43.98 DEF]-[46.60 ATK%]~[3.89 CR]~[75.86 ATK]~[8.74 HP%]~[5.83 ER]-[58.30 Physical]~[20.98 EM]~[53.24 DEF]~[4.53 ER]~[14.57 ATK%]-[46.60 ATK%]~[3.50 CR]~[18.95 DEF%]~[17.49 ER]~[7.77 CD]]|sum:5780624.462812501|mean:19268.748209375004
best_fitness:26939.740265625|best_individual:[[4780.00 HP]~[50.92 DEF]~[9.72 CR]~[13.62 ATK]~[20.98 EM]-[311.00 ATK]~[8.16 ATK%]~[41.96 EM]~[12.39 DEF%]~[43.98 DEF]-[46.60 ATK%]~[3.89 CR]~[75.86 ATK]~[8.74 HP%]~[5.83 ER]-[58.30 Physical]~[20.98 EM]~[53.24 DEF]~[4.53 ER]~[14.57 ATK%]-[46.60 ATK%]~[3.50 CR]~[18.95 DEF%]~[17.49 ER]~[7.77 CD]]|sum:5757901.7312625|mean:19193.005770875003
best_fitness:26939.740265625|best_individual:[[4780.00 HP]~[50.92 DEF]~[9.72 CR]~[13.62 ATK]~[20.98 EM]-[311.00 ATK]~[8.16 ATK%]~[41.96 EM]~[12.39 DEF%]~[43.98 DEF]-[46.60 ATK%]~[3.89 CR]~[75.86 ATK]~[8.74 HP%]~[5.83 ER]-[58.30 Physical]~[20.98 EM]~[53.24 DEF]~[4.53 ER]~[14.57 ATK%]-[46.60 ATK%]~[3.50 CR]~[18.95 DEF%]~[17.49 ER]~[7.77 CD]]|sum:5766793.4828906255|mean:19222.644942968753
best_fitness:26939.740265625|best_individual:[[4780.00 HP]~[50.92 DEF]~[9.72 CR]~[13.62 ATK]~[20.98 EM]-[311.00 ATK]~[8.16 ATK%]~[41.96 EM]~[12.39 DEF%]~[43.98 DEF]-[46.60 ATK%]~[3.89 CR]~[75.86 ATK]~[8.74 HP%]~[5.83 ER]-[58.30 Physical]~[20.98 EM]~[53.24 DEF]~[4.53 ER]~[14.57 ATK%]-[46.60 ATK%]~[3.50 CR]~[18.95 DEF%]~[17.49 ER]~[7.77 CD]]|sum:5772917.771090626|mean:19243.05923696875
best_fitness:26939.740265625|best_individual:[[4780.00 HP]~[5.18 ER]~[20.40 ATK%]~[41.67 DEF]~[20.98 EM]-[311.00 ATK]~[3.11 CR]~[16.32 EM]~[19.23 ATK%]~[12.31 ER]-[46.60 ATK%]~[3.50 CR]~[12.39 DEF%]~[12.43 CD]~[15.54 ER]-[46.60 Electro]~[55.95 EM]~[5.25 ATK%]~[10.20 DEF%]~[12.31 ER]-[35.90 Healing]~[33.07 ATK]~[6.61 CR]~[7.29 DEF%]~[14.57 HP%]]|sum:5770340.424225001|mean:19234.46808075
best_fitness:26939.740265625|best_individual:[[4780.00 HP]~[3.11 CR]~[15.54 ER]~[13.99 ATK%]~[5.25 HP%]-[311.00 ATK]~[9.91 HP%]~[15.74 ATK%]~[41.67 DEF]~[23.31 EM]-[46.60 ATK%]~[57.87 DEF]~[5.44 CD]~[13.62 ATK]~[16.33 HP%]-[46.60 Anemo]~[14.89 ER]~[23.31 EM]~[13.12 DEF%]~[11.08 ATK%]-[31.10 CR]~[15.74 HP%]~[5.10 DEF%]~[18.65 EM]~[52.52 ATK]]|sum:5748854.717775|mean:19162.849059250002
best_fitness:26939.740265625|best_individual:[[4780.00 HP]~[16.84 ER]~[8.55 CR]~[7.29 DEF%]~[18.65 EM]-[311.00 ATK]~[14.57 HP%]~[2.72 CR]~[55.55 DEF]~[18.65 EM]-[46.60 ATK%]~[16.20 DEF]~[5.83 HP%]~[46.62 EM]~[13.61 CR]-[58.30 DEF%]~[19.45 ATK]~[23.31 EM]~[26.82 HP%]~[4.08 ATK%]-[31.10 CR]~[16.84 ER]~[13.62 ATK]~[11.08 ATK%]~[13.98 CD]]|sum:5753138.043928126|mean:19177.126813093753
best_fitness:26939.740265625|best_individual:[[4780.00 HP]~[17.51 ATK]~[13.22 CR]~[39.35 DEF]~[18.65 EM]-[311.00 ATK]~[44.29 EM]~[10.36 ER]~[60.18 DEF]~[5.83 DEF%]-[187.00 EM]~[18.14 ER]~[7.29 DEF%]~[41.66 DEF]~[10.49 ATK%]-[46.60 Pyro]~[4.66 HP%]~[55.55 DEF]~[8.94 CR]~[5.25 ATK%]-[46.60 HP%]~[20.98 CD]~[41.66 DEF]~[6.61 CR]~[7.29 DEF%]]|sum:5733428.65989375|mean:19111.4288663125
