best_fitness:19027.0455102226|best_individual:[[4780.00 HP]~[13.61 CR]~[18.65 EM]~[13.98 CD]~[5.83 DEF%]-[311.00 ATK]~[12.43 CD]~[5.83 ER]~[10.11 CR]~[9.91 ATK%]-[187.00 EM]~[7.29 DEF%]~[28.75 CD]~[5.44 CR]~[5.83 ATK%]-[46.60 Pyro]~[18.52 DEF]~[8.16 HP%]~[10.11 CR]~[44.29 EM]-[31.10 CR]~[21.76 CD]~[18.22 DEF%]~[18.52 DEF]~[13.62 ATK]]|sum:2955748.4807402235|mean:9852.494935800745
best_fitness:19027.0455102226|best_individual:[[4780.00 HP]~[29.18 ATK]~[58.28 EM]~[10.49 HP%]~[3.11 CR]-[311.00 ATK]~[12.39 DEF%]~[14.89 ER]~[4.08 ATK%]~[39.63 EM]-[46.60 ATK%]~[23.31 EM]~[26.42 CD]~[14.58 DEF%]~[4.08 HP%]-[46.60 ATK%]~[5.83 HP%]~[44.29 EM]~[53.24 DEF]~[13.99 CD]-[187.00 EM]~[5.83 DEF%]~[34.72 DEF]~[21.57 HP%]~[2.72 CR]]|sum:2886567.69661619|mean:9621.892322053967
best_fitness:19027.0455102226|best_individual:[[4780.00 HP]~[29.18 ATK]~[58.28 EM]~[10.49 HP%]~[3.11 CR]-[311.00 ATK]~[12.39 DEF%]~[14.89 ER]~[4.08 ATK%]~[39.63 EM]-[46.60 ATK%]~[23.31 EM]~[26.42 CD]~[14.58 DEF%]~[4.08 HP%]-[46.60 ATK%]~[5.83 HP%]~[44.29 EM]~[53.24 DEF]~[13.99 CD]-[187.00 EM]~[5.83 DEF%]~[34.72 DEF]~[21.57 HP%]~[2.72 CR]]|sum:2953748.9135218114|mean:9845.82971173937
best_fitness:19027.0455102226|best_individual:[[4780.00 HP]~[10.36 ER]~[13.62 ATK]~[18.65 EM]~[25.64 CD]-[311.00 ATK]~[79.26 EM]~[4.53 ER]~[20.83 DEF]~[8.74 ATK%]-[51.80 ER]~[60.61 EM]~[6.61 CR]~[4.66 HP%]~[36.96 ATK]-[58.30 DEF%]~[11.66 HP%]~[18.52 DEF]~[10.49 ATK%]~[20.98 CD]-[31.10 CR]~[32.40 DEF]~[4.66 HP%]~[37.30 EM]~[15.16 ATK%]]|sum:2991643.1947389278|mean:9972.143982463092
best_fitness:19027.0455102226|best_individual:[[4780.00 HP]~[10.36 ER]~[13.62 ATK]~[18.65 EM]~[25.64 CD]-[311.00 ATK]~[79.26 EM]~[4.53 ER]~[20.83 DEF]~[8.74 ATK%]-[51.80 ER]~[60.61 EM]~[6.61 CR]~[4.66 HP%]~[36.96 ATK]-[58.30 DEF%]~[11.66 HP%]~[18.52 DEF]~[10.49 ATK%]~[20.98 CD]-[31.10 CR]~[32.40 DEF]~[4.66 HP%]~[37.30 EM]~[15.16 ATK%]]|sum:2963247.9034207915|mean:9877.493011402637
best_fitness:19027.0455102226|best_individual:[[4780.00 HP]~[10.36 ER]~[13.62 ATK]~[18.65 EM]~[25.64 CD]-[311.00 ATK]~[79.26 EM]~[4.53 ER]~[20.83 DEF]~[8.74 ATK%]-[51.80 ER]~[60.61 EM]~[6.61 CR]~[4.66 HP%]~[36.96 ATK]-[58.30 DEF%]~[11.66 HP%]~[18.52 DEF]~[10.49 ATK%]~[20.98 CD]-[31.10 CR]~[32.40 DEF]~[4.66 HP%]~[37.30 EM]~[15.16 ATK%]]|sum:2991276.1974776746|mean:9970.920658258916
best_fitness:19027.0455102226|best_individual:[[4780.00 HP]~[10.36 ER]~[13.62 ATK]~[18.65 EM]~[25.64 CD]-[311.00 ATK]~[79.26 EM]~[4.53 ER]~[20.83 DEF]~[8.74 ATK%]-[51.80 ER]~[60.61 EM]~[6.61 CR]~[4.66 HP%]~[36.96 ATK]-[58.30 DEF%]~[11.66 HP%]~[18.52 DEF]~[10.49 ATK%]~[20.98 CD]-[31.10 CR]~[32.40 DEF]~[4.66 HP%]~[37.30 EM]~[15.16 ATK%]]|sum:2979346.857910233|mean:9931.15619303411
best_fitness:19027.0455102226|best_individual:[[4780.00 HP]~[10.36 ER]~[13.62 ATK]~[18.65 EM]~[25.64 CD]-[311.00 ATK]~[79.26 EM]~[4.53 ER]~[20.83 DEF]~[8.74 ATK%]-[51.80 ER]~[60.61 EM]~[6.61 CR]~[4.66 HP%]~[36.96 ATK]-[58.30 DEF%]~[11.66 HP%]~[18.52 DEF]~[10.49 ATK%]~[20.98 CD]-[31.10 CR]~[32.40 DEF]~[4.66 HP%]~[37.30 EM]~[15.16 ATK%]]|sum:3017142.4590419685|mean:10057.141530139896
best_fitness:19027.0455102226|best_individual:[[4780.00 HP]~[10.36 ER]~[13.62 ATK]~[18.65 EM]~[25.64 CD]-[311.00 ATK]~[79.26 EM]~[4.53 ER]~[20.83 DEF]~[8.74 ATK%]-[51.80 ER]~[60.61 EM]~[6.61 CR]~[4.66 HP%]~[36.96 ATK]-[58.30 DEF%]~[11.66 HP%]~[18.52 DEF]~[10.49 ATK%]~[20.98 CD]-[31.10 CR]~[32.40 DEF]~[4.66 HP%]~[37.30 EM]~[15.16 ATK%]]|sum:2967302.6001988812|mean:9891.008667329605
best_fitness:19027.0455102226|best_individual:[[4780.00 HP]~[10.36 ER]~[13.62 ATK]~[18.65 EM]~[25.64 CD]-[311.00 ATK]~[79.26 EM]~[4.53 ER]~[20.83 DEF]~[8.74 ATK%]-[51.80 ER]~[60.61 EM]~[6.61 CR]~[4.66 HP%]~[36.96 ATK]-[58.30 DEF%]~[11.66 HP%]~[18.52 DEF]~[10.49 ATK%]~[20.98 CD]-[31.10 CR]~[32.40 DEF]~[4.66 HP%]~[37.30 EM]~[15.16 ATK%]]|sum:2979709.6080135447|mean:9932.365360045149
