best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[7.00 CR]~[9.91 HP%]~[33.07 ATK]~[39.35 DEF]-[311.00 ATK]~[37.30 EM]~[64.82 DEF]~[12.39 DEF%]~[5.44 CD]-[58.30 DEF%]~[23.31 EM]~[9.91 HP%]~[8.16 ATK%]~[20.98 CD]-[46.60 ATK%]~[11.01 ER]~[13.98 CD]~[32.64 EM]~[7.39 CR]-[58.30 DEF%]~[55.55 DEF]~[20.20 CD]~[4.08 ATK%]~[15.56 ATK]]|sum:5743703.826375|mean:19145.67942125
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[5.83 ATK%]~[42.80 ATK]~[2.72 CR]~[53.24 DEF]-[311.00 ATK]~[6.22 CR]~[9.91 HP%]~[7.77 CD]~[65.27 EM]-[58.30 DEF%]~[10.50 HP%]~[17.49 ER]~[39.35 DEF]~[5.83 ATK%]-[46.60 Cryo]~[4.66 ATK%]~[5.83 ER]~[64.81 DEF]~[9.33 CR]-[35.90 Healing]~[35.01 ATK]~[62.50 DEF]~[34.97 EM]~[6.48 ER]]|sum:5748226.699396875|mean:19160.755664656248
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[14.76 CD]~[37.30 EM]~[6.61 CR]~[8.74 ATK%]-[311.00 ATK]~[10.93 DEF%]~[23.32 ER]~[20.98 EM]~[5.83 HP%]-[46.60 HP%]~[19.42 CD]~[12.31 ER]~[35.01 ATK]~[5.10 DEF%]-[46.60 ATK%]~[50.57 ATK]~[4.08 HP%]~[23.15 DEF]~[10.11 CR]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:5685919.79836875|mean:18953.0659945625
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[20.99 ATK%]~[16.32 EM]~[15.56 ATK]~[7.39 CR]-[311.00 ATK]~[2.72 CR]~[20.20 CD]~[6.56 DEF%]~[60.18 DEF]-[46.60 HP%]~[37.03 DEF]~[27.24 ATK]~[7.78 CR]~[10.93 DEF%]-[46.60 ATK%]~[39.63 EM]~[39.35 DEF]~[35.02 ATK]~[10.49 HP%]-[58.30 DEF%]~[3.89 CR]~[81.02 DEF]~[12.44 CD]~[17.51 ATK]]|sum:5745442.759200001|mean:19151.475864000004
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[9.33 ATK%]~[11.66 DEF%]~[16.84 ER]~[23.31 EM]-[311.00 ATK]~[18.22 DEF%]~[3.50 CR]~[32.64 EM]~[9.91 HP%]-[187.00 EM]~[9.33 ATK%]~[3.11 CR]~[19.43 CD]~[12.31 ER]-[46.60 Electro]~[23.31 EM]~[6.56 DEF%]~[11.08 HP%]~[12.83 CR]-[58.30 DEF%]~[13.62 ATK]~[19.42 CD]~[58.28 EM]~[5.83 ER]]|sum:5751245.750409375|mean:19170.81916803125
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[9.33 ATK%]~[11.66 DEF%]~[16.84 ER]~[23.31 EM]-[311.00 ATK]~[18.22 DEF%]~[3.50 CR]~[32.64 EM]~[9.91 HP%]-[187.00 EM]~[9.33 ATK%]~[3.11 CR]~[19.43 CD]~[12.31 ER]-[46.60 Electro]~[23.31 EM]~[6.56 DEF%]~[11.08 HP%]~[12.83 CR]-[58.30 DEF%]~[13.62 ATK]~[19.42 CD]~[58.28 EM]~[5.83 ER]]|sum:5770842.3319500005|mean:19236.141106500003
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[9.33 ATK%]~[11.66 DEF%]~[16.84 ER]~[23.31 EM]-[311.00 ATK]~[18.22 DEF%]~[3.50 CR]~[32.64 EM]~[9.91 HP%]-[187.00 EM]~[9.33 ATK%]~[3.11 CR]~[19.43 CD]~[12.31 ER]-[46.60 Electro]~[23.31 EM]~[6.56 DEF%]~[11.08 HP%]~[12.83 CR]-[58.30 DEF%]~[13.62 ATK]~[19.42 CD]~[58.28 EM]~[5.83 ER]]|sum:5757894.760321876|mean:19192.982534406252
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[11.08 ATK%]~[55.55 DEF]~[6.56 DEF%]~[41.96 EM]-[311.00 ATK]~[14.57 HP%]~[7.29 DEF%]~[9.33 ATK%]~[41.67 DEF]-[58.30 DEF%]~[4.66 ATK%]~[9.91 HP%]~[7.78 CR]~[20.21 CD]-[46.60 ATK%]~[39.63 EM]~[39.35 DEF]~[35.02 ATK]~[10.49 HP%]-[62.20 CD]~[57.87 DEF]~[8.74 ATK%]~[33.07 ATK]~[4.66 HP%]]|sum:5743101.790593751|mean:19143.6726353125
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[5.83 HP%]~[36.96 ATK]~[19.68 DEF%]~[43.98 DEF]-[311.00 ATK]~[18.95 DEF%]~[11.66 ER]~[10.49 ATK%]~[6.22 CD]-[46.60 HP%]~[37.03 DEF]~[48.63 ATK]~[2.72 CR]~[12.31 ER]-[58.30 DEF%]~[11.66 HP%]~[18.52 DEF]~[10.49 ATK%]~[20.98 CD]-[62.20 CD]~[11.66 ER]~[44.29 EM]~[13.62 ATK]~[50.92 DEF]]|sum:5775699.176400001|mean:19252.330588000004
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[14.57 HP%]~[5.83 ER]~[55.95 EM]~[7.29 DEF%]-[311.00 ATK]~[4.08 ATK%]~[13.21 CD]~[10.36 ER]~[18.22 DEF%]-[46.60 ATK%]~[29.18 ATK]~[13.99 CD]~[7.78 CR]~[10.36 ER]-[46.60 ATK%]~[18.07 HP%]~[31.13 ATK]~[4.53 ER]~[7.77 CD]-[31.10 CR]~[14.89 ER]~[9.32 ATK%]~[33.07 ATK]~[23.15 DEF]]|sum:5789980.098853126|mean:19299.933662843752
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[14.57 HP%]~[5.83 ER]~[55.95 EM]~[7.29 DEF%]-[311.00 ATK]~[4.08 ATK%]~[13.21 CD]~[10.36 ER]~[18.22 DEF%]-[46.60 ATK%]~[29.18 ATK]~[13.99 CD]~[7.78 CR]~[10.36 ER]-[46.60 ATK%]~[18.07 HP%]~[31.13 ATK]~[4.53 ER]~[7.77 CD]-[31.10 CR]~[14.89 ER]~[9.32 ATK%]~[33.07 ATK]~[23.15 DEF]]|sum:5779350.68184375|mean:19264.5022728125
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[2.72 CR]~[24.86 CD]~[41.96 EM]~[15.56 ATK]-[311.00 ATK]~[3.11 CR]~[15.16 ATK%]~[16.32 CD]~[5.18 ER]-[46.60 ATK%]~[6.48 ER]~[12.43 CD]~[17.51 ATK]~[81.59 EM]-[58.30 Physical]~[11.01 ER]~[18.65 EM]~[9.32 ATK%]~[50.58 ATK]-[31.10 CR]~[44.74 ATK]~[6.48 ER]~[19.43 CD]~[5.10 DEF%]]|sum:5768540.020378126|mean:19228.466734593752
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[37.30 EM]~[41.67 DEF]~[3.89 CR]~[48.63 ATK]-[311.00 ATK]~[9.91 HP%]~[13.12 DEF%]~[18.65 EM]~[50.92 DEF]-[51.80 ER]~[10.88 CD]~[6.61 CR]~[34.97 EM]~[11.66 ATK%]-[58.30 Physical]~[41.66 DEF]~[5.25 HP%]~[29.18 ATK]~[17.49 ER]-[46.60 HP%]~[14.76 CD]~[5.25 ATK%]~[35.02 ATK]~[15.30 DEF%]]|sum:5772996.986325|mean:19243.32328775
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[52.52 ATK]~[16.84 ER]~[5.83 ATK%]~[18.52 DEF]-[311.00 ATK]~[12.39 DEF%]~[5.83 ER]~[19.24 HP%]~[3.11 CR]-[58.30 DEF%]~[10.50 HP%]~[17.49 ER]~[39.35 DEF]~[5.83 ATK%]-[46.60 Pyro]~[5.25 ATK%]~[13.21 CD]~[46.30 DEF]~[14.89 ER]-[46.60 HP%]~[7.29 DEF%]~[10.36 ER]~[9.72 CR]~[39.35 DEF]]|sum:5763646.420059375|mean:19212.15473353125
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[11.66 HP%]~[11.01 ER]~[5.83 ATK%]~[62.94 EM]-[311.00 ATK]~[7.77 CD]~[10.49 HP%]~[6.22 CR]~[15.54 ER]-[58.30 DEF%]~[9.71 ER]~[17.51 ATK]~[3.50 CR]~[27.97 CD]-[46.60 HP%]~[16.84 ER]~[31.13 ATK]~[5.83 CR]~[6.22 CD]-[187.00 EM]~[9.32 ATK%]~[39.35 DEF]~[8.74 HP%]~[13.21 CD]]|sum:5719344.191221876|mean:19064.480637406254
