best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[2.72 CR]~[24.86 CD]~[41.96 EM]~[15.56 ATK]-[311.00 ATK]~[10.49 HP%]~[14.57 ATK%]~[46.30 DEF]~[5.83 ER]-[58.30 DEF%]~[46.30 DEF]~[9.91 ATK%]~[34.97 EM]~[11.08 HP%]-[46.60 Electro]~[5.83 HP%]~[4.66 ATK%]~[25.51 DEF%]~[13.98 CD]-[187.00 EM]~[32.40 DEF]~[20.41 DEF%]~[13.21 CD]~[3.50 CR]]|sum:5791504.8336843755|mean:19305.016112281253
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[6.61 CR]~[32.64 EM]~[18.52 DEF]~[21.14 DEF%]-[311.00 ATK]~[23.31 EM]~[12.24 ATK%]~[9.71 ER]~[13.85 DEF%]-[58.30 DEF%]~[31.13 ATK]~[11.01 ER]~[39.63 EM]~[8.16 HP%]-[58.30 Physical]~[9.32 HP%]~[74.07 DEF]~[4.53 ER]~[16.32 EM]-[62.20 CD]~[23.15 DEF]~[14.58 ATK%]~[58.28 EM]~[2.72 CR]]|sum:5748191.210971875|mean:19160.63736990625
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[12.39 DEF%]~[12.43 CD]~[9.91 HP%]~[32.64 EM]-[311.00 ATK]~[9.91 HP%]~[5.83 ER]~[13.21 CD]~[15.74 ATK%]-[187.00 EM]~[6.22 CR]~[12.43 CD]~[11.66 ER]~[9.33 HP%]-[46.60 Cryo]~[33.07 ATK]~[55.55 DEF]~[9.33 ATK%]~[3.50 CR]-[46.60 HP%]~[25.92 ER]~[19.45 ATK]~[18.65 EM]~[5.83 CR]]|sum:5798731.797946876|mean:19329.105993156252
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[11.66 DEF%]~[17.51 ATK]~[20.20 CD]~[9.91 ATK%]-[311.00 ATK]~[5.25 HP%]~[9.06 ER]~[13.21 CD]~[17.49 DEF%]-[58.30 DEF%]~[39.35 DEF]~[11.66 ATK%]~[13.21 CD]~[11.66 HP%]-[46.60 Hydro]~[5.83 HP%]~[16.84 ER]~[39.63 EM]~[13.21 CD]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5818038.768590625|mean:19393.46256196875
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[11.66 DEF%]~[17.51 ATK]~[20.20 CD]~[9.91 ATK%]-[311.00 ATK]~[5.25 HP%]~[9.06 ER]~[13.21 CD]~[17.49 DEF%]-[58.30 DEF%]~[39.35 DEF]~[11.66 ATK%]~[13.21 CD]~[11.66 HP%]-[46.60 Hydro]~[5.83 HP%]~[16.84 ER]~[39.63 EM]~[13.21 CD]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5803968.241800001|mean:19346.560806
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[9.32 ATK%]~[5.25 HP%]~[28.74 CD]~[20.83 DEF]-[311.00 ATK]~[15.54 ER]~[16.76 DEF%]~[3.11 CR]~[5.83 ATK%]-[187.00 EM]~[5.25 ATK%]~[66.14 ATK]~[6.22 CD]~[34.72 DEF]-[46.60 Pyro]~[11.66 ER]~[3.50 CR]~[44.29 EM]~[21.75 CD]-[31.10 CR]~[5.18 ER]~[11.08 HP%]~[62.26 ATK]~[16.20 DEF]]|sum:5762392.9181906255|mean:19207.97639396875
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[9.32 ATK%]~[5.25 HP%]~[28.74 CD]~[20.83 DEF]-[311.00 ATK]~[15.54 ER]~[16.76 DEF%]~[3.11 CR]~[5.83 ATK%]-[187.00 EM]~[5.25 ATK%]~[66.14 ATK]~[6.22 CD]~[34.72 DEF]-[46.60 Pyro]~[11.66 ER]~[3.50 CR]~[44.29 EM]~[21.75 CD]-[31.10 CR]~[5.18 ER]~[11.08 HP%]~[62.26 ATK]~[16.20 DEF]]|sum:5796738.108928125|mean:19322.460363093753
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[16.76 DEF%]~[34.97 EM]~[4.66 ATK%]~[41.66 DEF]-[311.00 ATK]~[11.01 ER]~[2.72 CR]~[12.43 CD]~[55.95 EM]-[58.30 DEF%]~[2.72 CR]~[11.08 ATK%]~[8.16 HP%]~[15.54 ER]-[46.60 ATK%]~[17.51 ATK]~[6.61 CR]~[74.07 DEF]~[5.25 HP%]-[31.10 CR]~[5.18 ER]~[11.08 HP%]~[62.26 ATK]~[16.20 DEF]]|sum:5830118.141250001|mean:19433.727137500005
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[16.76 DEF%]~[34.97 EM]~[4.66 ATK%]~[41.66 DEF]-[311.00 ATK]~[11.01 ER]~[2.72 CR]~[12.43 CD]~[55.95 EM]-[58.30 DEF%]~[2.72 CR]~[11.08 ATK%]~[8.16 HP%]~[15.54 ER]-[46.60 ATK%]~[17.51 ATK]~[6.61 CR]~[74.07 DEF]~[5.25 HP%]-[31.10 CR]~[5.18 ER]~[11.08 HP%]~[62.26 ATK]~[16.20 DEF]]|sum:5814614.135578126|mean:19382.047118593753
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[19.43 CD]~[37.04 DEF]~[5.25 ATK%]~[10.93 DEF%]-[311.00 ATK]~[11.66 ER]~[21.87 DEF%]~[5.83 ATK%]~[39.63 EM]-[51.80 ER]~[18.65 EM]~[33.07 ATK]~[5.25 ATK%]~[25.64 CD]-[58.30 DEF%]~[5.25 HP%]~[12.83 CR]~[33.07 ATK]~[4.53 ER]-[187.00 EM]~[12.43 CD]~[10.49 ATK%]~[6.48 ER]~[18.95 DEF%]]|sum:5756909.32280625|mean:19189.697742687502
