best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[2.72 CR]~[17.87 CD]~[16.91 HP%]~[16.32 EM]-[311.00 ATK]~[12.39 DEF%]~[5.83 ER]~[19.24 HP%]~[3.11 CR]-[46.60 HP%]~[52.52 ATK]~[6.48 ER]~[16.32 EM]~[18.95 DEF%]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5833037.064206251|mean:19443.456880687503
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[2.72 CR]~[17.87 CD]~[16.91 HP%]~[16.32 EM]-[311.00 ATK]~[12.39 DEF%]~[5.83 ER]~[19.24 HP%]~[3.11 CR]-[46.60 HP%]~[52.52 ATK]~[6.48 ER]~[16.32 EM]~[18.95 DEF%]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5832130.841925001|mean:19440.436139750003
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[2.72 CR]~[17.87 CD]~[16.91 HP%]~[16.32 EM]-[311.00 ATK]~[12.39 DEF%]~[5.83 ER]~[19.24 HP%]~[3.11 CR]-[46.60 HP%]~[52.52 ATK]~[6.48 ER]~[16.32 EM]~[18.95 DEF%]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5836150.5397781255|mean:19453.83513259375
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[2.72 CR]~[17.87 CD]~[16.91 HP%]~[16.32 EM]-[311.00 ATK]~[12.39 DEF%]~[5.83 ER]~[19.24 HP%]~[3.11 CR]-[46.60 HP%]~[52.52 ATK]~[6.48 ER]~[16.32 EM]~[18.95 DEF%]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5822173.170103125|mean:19407.24390034375
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[2.72 CR]~[17.87 CD]~[16.91 HP%]~[16.32 EM]-[311.00 ATK]~[12.39 DEF%]~[5.83 ER]~[19.24 HP%]~[3.11 CR]-[46.60 HP%]~[52.52 ATK]~[6.48 ER]~[16.32 EM]~[18.95 DEF%]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5843770.411603126|mean:19479.23470534375
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[2.72 CR]~[17.87 CD]~[16.91 HP%]~[16.32 EM]-[311.00 ATK]~[12.39 DEF%]~[5.83 ER]~[19.24 HP%]~[3.11 CR]-[46.60 HP%]~[52.52 ATK]~[6.48 ER]~[16.32 EM]~[18.95 DEF%]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5860467.081843751|mean:19534.890272812503
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[2.72 CR]~[17.87 CD]~[16.91 HP%]~[16.32 EM]-[311.00 ATK]~[12.39 DEF%]~[5.83 ER]~[19.24 HP%]~[3.11 CR]-[46.60 HP%]~[52.52 ATK]~[6.48 ER]~[16.32 EM]~[18.95 DEF%]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5843878.144321875|mean:19479.59381440625
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[2.72 CR]~[17.87 CD]~[16.91 HP%]~[16.32 EM]-[311.00 ATK]~[12.39 DEF%]~[5.83 ER]~[19.24 HP%]~[3.11 CR]-[46.60 HP%]~[52.52 ATK]~[6.48 ER]~[16.32 EM]~[18.95 DEF%]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5852966.349731251|mean:19509.887832437504
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[2.72 CR]~[17.87 CD]~[16.91 HP%]~[16.32 EM]-[311.00 ATK]~[12.39 DEF%]~[5.83 ER]~[19.24 HP%]~[3.11 CR]-[46.60 HP%]~[52.52 ATK]~[6.48 ER]~[16.32 EM]~[18.95 DEF%]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5810735.7577031255|mean:19369.11919234375
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[2.72 CR]~[17.87 CD]~[16.91 HP%]~[16.32 EM]-[311.00 ATK]~[12.39 DEF%]~[5.83 ER]~[19.24 HP%]~[3.11 CR]-[46.60 HP%]~[52.52 ATK]~[6.48 ER]~[16.32 EM]~[18.95 DEF%]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5804821.231443751|mean:19349.404104812504
