best_fitness:17812.341686107415|best_individual:[[4780.00 HP]~[3.89 CR]~[11.66 CD]~[16.19 ER]~[35.01 ATK]-[311.00 ATK]~[9.91 ATK%]~[5.25 HP%]~[34.97 EM]~[9.72 CR]-[46.60 HP%]~[18.65 EM]~[31.13 ATK]~[15.16 ATK%]~[13.21 CD]-[46.60 Hydro]~[37.30 EM]~[19.82 HP%]~[5.83 ER]~[4.08 ATK%]-[58.30 DEF%]~[6.61 CR]~[38.90 ATK]~[46.30 DEF]~[9.33 HP%]]|sum:3033322.393798841|mean:10111.074645996137
best_fitness:17812.341686107415|best_individual:[[4780.00 HP]~[3.89 CR]~[11.66 CD]~[16.19 ER]~[35.01 ATK]-[311.00 ATK]~[9.91 ATK%]~[5.25 HP%]~[34.97 EM]~[9.72 CR]-[46.60 HP%]~[18.65 EM]~[31.13 ATK]~[15.16 ATK%]~[13.21 CD]-[46.60 Hydro]~[37.30 EM]~[19.82 HP%]~[5.83 ER]~[4.08 ATK%]-[58.30 DEF%]~[6.61 CR]~[38.90 ATK]~[46.30 DEF]~[9.33 HP%]]|sum:3002327.1962560974|mean:10007.757320853658
best_fitness:17812.341686107415|best_individual:[[4780.00 HP]~[10.93 DEF%]~[10.36 ER]~[9.91 ATK%]~[35.02 ATK]-[311.00 ATK]~[16.03 DEF%]~[23.31 EM]~[23.15 DEF]~[19.42 CD]-[46.60 HP%]~[18.65 EM]~[62.50 DEF]~[20.98 CD]~[4.53 ER]-[58.30 Physical]~[35.01 ATK]~[13.61 CR]~[4.53 ER]~[5.25 ATK%]-[62.20 CD]~[10.50 HP%]~[4.53 ER]~[57.87 DEF]~[31.13 ATK]]|sum:2954354.6699725087|mean:9847.848899908362
best_fitness:17812.341686107415|best_individual:[[4780.00 HP]~[10.36 ER]~[11.08 ATK%]~[55.55 DEF]~[15.56 ATK]-[311.00 ATK]~[4.66 ATK%]~[81.59 EM]~[5.18 ER]~[14.58 DEF%]-[187.00 EM]~[12.43 CD]~[62.50 DEF]~[2.72 CR]~[9.91 ATK%]-[46.60 Anemo]~[68.08 ATK]~[39.35 DEF]~[6.48 ER]~[6.99 CD]-[46.60 HP%]~[10.88 CD]~[13.85 DEF%]~[39.63 EM]~[5.83 CR]]|sum:2985438.4434249084|mean:9951.461478083029
best_fitness:17812.341686107415|best_individual:[[4780.00 HP]~[10.36 ER]~[11.08 ATK%]~[55.55 DEF]~[15.56 ATK]-[311.00 ATK]~[4.66 ATK%]~[81.59 EM]~[5.18 ER]~[14.58 DEF%]-[187.00 EM]~[12.43 CD]~[62.50 DEF]~[2.72 CR]~[9.91 ATK%]-[46.60 Anemo]~[68.08 ATK]~[39.35 DEF]~[6.48 ER]~[6.99 CD]-[46.60 HP%]~[10.88 CD]~[13.85 DEF%]~[39.63 EM]~[5.83 CR]]|sum:3024562.451836699|mean:10081.874839455664
best_fitness:17812.341686107415|best_individual:[[4780.00 HP]~[5.18 ER]~[20.40 ATK%]~[41.67 DEF]~[20.98 EM]-[311.00 ATK]~[3.89 CR]~[11.01 ER]~[11.66 CD]~[17.49 DEF%]-[51.80 ER]~[3.11 CR]~[34.72 DEF]~[19.68 DEF%]~[9.91 HP%]-[46.60 Cryo]~[10.49 ATK%]~[39.63 EM]~[9.71 ER]~[6.22 CR]-[187.00 EM]~[12.83 CR]~[20.83 DEF]~[5.83 HP%]~[11.66 DEF%]]|sum:3024631.731701554|mean:10082.105772338513
best_fitness:17812.341686107415|best_individual:[[4780.00 HP]~[12.39 DEF%]~[12.43 CD]~[9.91 HP%]~[32.64 EM]-[311.00 ATK]~[11.08 HP%]~[16.20 DEF]~[15.16 ATK%]~[10.20 DEF%]-[46.60 HP%]~[12.31 ER]~[54.47 ATK]~[20.83 DEF]~[15.54 CD]-[46.60 Pyro]~[37.30 EM]~[6.61 CR]~[11.66 ER]~[11.66 HP%]-[46.60 HP%]~[3.89 CR]~[16.76 DEF%]~[13.62 ATK]~[14.58 ATK%]]|sum:2984570.3555492703|mean:9948.567851830901
best_fitness:17812.341686107415|best_individual:[[4780.00 HP]~[17.49 ER]~[35.01 ATK]~[6.56 DEF%]~[6.22 CR]-[311.00 ATK]~[10.11 CR]~[11.66 ATK%]~[13.99 CD]~[4.53 ER]-[51.80 ER]~[18.52 DEF]~[9.72 CR]~[13.99 ATK%]~[7.29 DEF%]-[46.60 ATK%]~[5.44 CD]~[6.56 DEF%]~[16.20 DEF]~[25.06 HP%]-[46.60 HP%]~[33.07 ATK]~[6.99 CD]~[3.50 CR]~[21.13 DEF%]]|sum:2966378.7883091|mean:9887.929294363666
best_fitness:17812.341686107415|best_individual:[[4780.00 HP]~[17.49 ER]~[35.01 ATK]~[6.56 DEF%]~[6.22 CR]-[311.00 ATK]~[10.11 CR]~[11.66 ATK%]~[13.99 CD]~[4.53 ER]-[51.80 ER]~[18.52 DEF]~[9.72 CR]~[13.99 ATK%]~[7.29 DEF%]-[46.60 ATK%]~[5.44 CD]~[6.56 DEF%]~[16.20 DEF]~[25.06 HP%]-[46.60 HP%]~[33.07 ATK]~[6.99 CD]~[3.50 CR]~[21.13 DEF%]]|sum:2926221.8913121326|mean:9754.072971040441
best_fitness:19320.702620772176|best_individual:[[4780.00 HP]~[10.36 ER]~[19.45 ATK]~[6.61 CR]~[18.95 DEF%]-[311.00 ATK]~[4.66 ATK%]~[10.89 CR]~[13.99 HP%]~[20.98 EM]-[46.60 HP%]~[12.31 ER]~[52.52 ATK]~[5.83 CR]~[23.15 DEF]-[46.60 Pyro]~[16.33 ATK%]~[6.22 CD]~[6.61 CR]~[27.24 ATK]-[31.10 CR]~[10.49 ATK%]~[50.58 ATK]~[9.32 HP%]~[6.22 CD]]|sum:2971394.4983163094|mean:9904.648327721032
best_fitness:19320.702620772176|best_individual:[[4780.00 HP]~[10.36 ER]~[19.45 ATK]~[6.61 CR]~[18.95 DEF%]-[311.00 ATK]~[4.66 ATK%]~[10.89 CR]~[13.99 HP%]~[20.98 EM]-[46.60 HP%]~[12.31 ER]~[52.52 ATK]~[5.83 CR]~[23.15 DEF]-[46.60 Pyro]~[16.33 ATK%]~[6.22 CD]~[6.61 CR]~[27.24 ATK]-[31.10 CR]~[10.49 ATK%]~[50.58 ATK]~[9.32 HP%]~[6.22 CD]]|sum:3007881.6903837738|mean:10026.272301279247
best_fitness:19320.702620772176|best_individual:[[4780.00 HP]~[10.36 ER]~[19.45 ATK]~[6.61 CR]~[18.95 DEF%]-[311.00 ATK]~[4.66 ATK%]~[10.89 CR]~[13.99 HP%]~[20.98 EM]-[46.60 HP%]~[12.31 ER]~[52.52 ATK]~[5.83 CR]~[23.15 DEF]-[46.60 Pyro]~[16.33 ATK%]~[6.22 CD]~[6.61 CR]~[27.24 ATK]-[31.10 CR]~[10.49 ATK%]~[50.58 ATK]~[9.32 HP%]~[6.22 CD]]|sum:2995697.6227283794|mean:9985.658742427931
best_fitness:19320.702620772176|best_individual:[[4780.00 HP]~[10.36 ER]~[19.45 ATK]~[6.61 CR]~[18.95 DEF%]-[311.00 ATK]~[4.66 ATK%]~[10.89 CR]~[13.99 HP%]~[20.98 EM]-[46.60 HP%]~[12.31 ER]~[52.52 ATK]~[5.83 CR]~[23.15 DEF]-[46.60 Pyro]~[16.33 ATK%]~[6.22 CD]~[6.61 CR]~[27.24 ATK]-[31.10 CR]~[10.49 ATK%]~[50.58 ATK]~[9.32 HP%]~[6.22 CD]]|sum:3045486.999575735|mean:10151.623331919116
best_fitness:19320.702620772176|best_individual:[[4780.00 HP]~[5.10 DEF%]~[57.87 DEF]~[10.89 CR]~[5.83 ER]-[311.00 ATK]~[62.50 DEF]~[10.36 ER]~[14.76 CD]~[18.65 EM]-[51.80 ER]~[50.92 DEF]~[36.96 ATK]~[6.99 CD]~[39.63 EM]-[46.60 Hydro]~[6.56 DEF%]~[15.54 CD]~[9.33 HP%]~[10.89 CR]-[35.90 Healing]~[16.32 EM]~[76.39 DEF]~[7.00 CR]~[5.83 ER]]|sum:3025087.756861644|mean:10083.625856205479
best_fitness:19320.702620772176|best_individual:[[4780.00 HP]~[6.56 DEF%]~[74.60 EM]~[5.25 HP%]~[9.91 ATK%]-[311.00 ATK]~[14.57 ATK%]~[9.71 ER]~[5.83 DEF%]~[10.88 CD]-[58.30 DEF%]~[6.99 CD]~[9.91 ATK%]~[10.11 CR]~[33.07 ATK]-[46.60 Cryo]~[39.35 DEF]~[5.83 HP%]~[27.24 ATK]~[15.54 ER]-[35.90 Healing]~[10.20 DEF%]~[11.66 ATK%]~[20.98 EM]~[16.84 ER]]|sum:3047713.4079601597|mean:10159.044693200532
best_fitness:19320.702620772176|best_individual:[[4780.00 HP]~[55.55 DEF]~[41.96 EM]~[5.83 ER]~[8.74 ATK%]-[311.00 ATK]~[27.19 CD]~[3.50 CR]~[5.83 DEF%]~[12.31 ER]-[187.00 EM]~[5.10 DEF%]~[22.16 ATK%]~[14.76 CD]~[2.72 CR]-[46.60 Geo]~[23.15 DEF]~[33.07 ATK]~[18.95 DEF%]~[11.66 HP%]-[58.30 DEF%]~[9.91 ATK%]~[12.31 ER]~[9.32 HP%]~[12.44 CD]]|sum:3002707.3393806396|mean:10009.024464602133
best_fitness:19320.702620772176|best_individual:[[4780.00 HP]~[55.55 DEF]~[41.96 EM]~[5.83 ER]~[8.74 ATK%]-[311.00 ATK]~[27.19 CD]~[3.50 CR]~[5.83 DEF%]~[12.31 ER]-[187.00 EM]~[5.10 DEF%]~[22.16 ATK%]~[14.76 CD]~[2.72 CR]-[46.60 Geo]~[23.15 DEF]~[33.07 ATK]~[18.95 DEF%]~[11.66 HP%]-[58.30 DEF%]~[9.91 ATK%]~[12.31 ER]~[9.32 HP%]~[12.44 CD]]|sum:2947747.746663841|mean:9825.825822212802
best_fitness:19320.702620772176|best_individual:[[4780.00 HP]~[55.55 DEF]~[41.96 EM]~[5.83 ER]~[8.74 ATK%]-[311.00 ATK]~[27.19 CD]~[3.50 CR]~[5.83 DEF%]~[12.31 ER]-[187.00 EM]~[5.10 DEF%]~[22.16 ATK%]~[14.76 CD]~[2.72 CR]-[46.60 Geo]~[23.15 DEF]~[33.07 ATK]~[18.95 DEF%]~[11.66 HP%]-[58.30 DEF%]~[9.91 ATK%]~[12.31 ER]~[9.32 HP%]~[12.44 CD]]|sum:2924110.3167871796|mean:9747.034389290598
best_fitness:19320.702620772176|best_individual:[[4780.00 HP]~[9.91 ATK%]~[55.95 EM]~[10.20 DEF%]~[6.48 ER]-[311.00 ATK]~[3.11 CR]~[16.32 EM]~[19.23 ATK%]~[12.31 ER]-[51.80 ER]~[19.43 CD]~[8.74 ATK%]~[7.78 CR]~[19.45 ATK]-[46.60 Geo]~[5.83 ER]~[12.39 DEF%]~[15.16 ATK%]~[12.43 CD]-[187.00 EM]~[19.43 CD]~[12.31 ER]~[13.85 DEF%]~[3.89 CR]]|sum:2937708.4873337597|mean:9792.361624445866
