best_fitness:22477.992721736475|best_individual:[[4780.00 HP]~[10.50 ATK%]~[7.39 CR]~[13.98 CD]~[32.64 EM]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[6.22 CR]~[11.66 CD]~[4.08 ATK%]~[52.52 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[15.16 ATK%]~[18.52 DEF]~[7.77 CD]~[14.57 HP%]]|sum:3253958.5550363427|mean:10846.528516787808
best_fitness:22477.992721736475|best_individual:[[4780.00 HP]~[10.50 ATK%]~[7.39 CR]~[13.98 CD]~[32.64 EM]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[6.22 CR]~[11.66 CD]~[4.08 ATK%]~[52.52 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[15.16 ATK%]~[18.52 DEF]~[7.77 CD]~[14.57 HP%]]|sum:3262268.2945608464|mean:10874.227648536154
best_fitness:22477.992721736475|best_individual:[[4780.00 HP]~[10.50 ATK%]~[7.39 CR]~[13.98 CD]~[32.64 EM]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[6.22 CR]~[11.66 CD]~[4.08 ATK%]~[52.52 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[15.16 ATK%]~[18.52 DEF]~[7.77 CD]~[14.57 HP%]]|sum:3261609.9775225436|mean:10872.033258408479
best_fitness:22477.992721736475|best_individual:[[4780.00 HP]~[10.50 ATK%]~[7.39 CR]~[13.98 CD]~[32.64 EM]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[6.22 CR]~[11.66 CD]~[4.08 ATK%]~[52.52 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[15.16 ATK%]~[18.52 DEF]~[7.77 CD]~[14.57 HP%]]|sum:3261618.088714035|mean:10872.06029571345
best_fitness:22477.992721736475|best_individual:[[4780.00 HP]~[10.50 ATK%]~[7.39 CR]~[13.98 CD]~[32.64 EM]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[6.22 CR]~[11.66 CD]~[4.08 ATK%]~[52.52 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[15.16 ATK%]~[18.52 DEF]~[7.77 CD]~[14.57 HP%]]|sum:3266021.607886552|mean:10886.738692955172
best_fitness:22477.992721736475|best_individual:[[4780.00 HP]~[10.50 ATK%]~[7.39 CR]~[13.98 CD]~[32.64 EM]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[6.22 CR]~[11.66 CD]~[4.08 ATK%]~[52.52 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[15.16 ATK%]~[18.52 DEF]~[7.77 CD]~[14.57 HP%]]|sum:3305397.8195084766|mean:11017.992731694922
best_fitness:22477.992721736475|best_individual:[[4780.00 HP]~[10.50 ATK%]~[7.39 CR]~[13.98 CD]~[32.64 EM]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[6.22 CR]~[11.66 CD]~[4.08 ATK%]~[52.52 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[15.16 ATK%]~[18.52 DEF]~[7.77 CD]~[14.57 HP%]]|sum:3254422.8989249975|mean:10848.076329749993
best_fitness:22477.992721736475|best_individual:[[4780.00 HP]~[10.50 ATK%]~[7.39 CR]~[13.98 CD]~[32.64 EM]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[6.22 CR]~[11.66 CD]~[4.08 ATK%]~[52.52 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[15.16 ATK%]~[18.52 DEF]~[7.77 CD]~[14.57 HP%]]|sum:3261211.352533428|mean:10870.70450844476
best_fitness:22477.992721736475|best_individual:[[4780.00 HP]~[10.50 ATK%]~[7.39 CR]~[13.98 CD]~[32.64 EM]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[6.22 CR]~[11.66 CD]~[4.08 ATK%]~[52.52 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[15.16 ATK%]~[18.52 DEF]~[7.77 CD]~[14.57 HP%]]|sum:3293031.873608227|mean:10976.772912027423
best_fitness:22477.992721736475|best_individual:[[4780.00 HP]~[10.50 ATK%]~[7.39 CR]~[13.98 CD]~[32.64 EM]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[6.22 CR]~[11.66 CD]~[4.08 ATK%]~[52.52 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[15.16 ATK%]~[18.52 DEF]~[7.77 CD]~[14.57 HP%]]|sum:3296495.066932814|mean:10988.316889776048
