best_fitness:22320.363672185347|best_individual:[[4780.00 HP]~[9.33 ATK%]~[20.72 ER]~[3.11 CR]~[4.08 HP%]-[311.00 ATK]~[67.13 DEF]~[3.50 CR]~[10.49 ATK%]~[37.30 EM]-[187.00 EM]~[8.55 CR]~[13.62 ATK]~[10.20 DEF%]~[41.67 DEF]-[46.60 ATK%]~[5.44 CD]~[6.56 DEF%]~[16.20 DEF]~[25.06 HP%]-[187.00 EM]~[10.49 ATK%]~[13.98 CD]~[34.72 DEF]~[11.01 ER]]|sum:3234637.4581353115|mean:10782.124860451038
best_fitness:22320.363672185347|best_individual:[[4780.00 HP]~[5.44 CR]~[5.25 HP%]~[13.59 ER]~[37.30 EM]-[311.00 ATK]~[60.61 EM]~[5.83 HP%]~[10.88 CD]~[8.74 ATK%]-[187.00 EM]~[9.33 HP%]~[18.95 DEF%]~[7.39 CR]~[5.25 ATK%]-[46.60 ATK%]~[19.82 HP%]~[23.15 DEF]~[18.65 EM]~[10.36 ER]-[46.60 ATK%]~[6.99 CD]~[16.32 EM]~[8.74 HP%]~[18.77 ER]]|sum:3237173.546709357|mean:10790.57848903119
best_fitness:22320.363672185347|best_individual:[[4780.00 HP]~[5.44 CR]~[5.25 HP%]~[13.59 ER]~[37.30 EM]-[311.00 ATK]~[60.61 EM]~[5.83 HP%]~[10.88 CD]~[8.74 ATK%]-[187.00 EM]~[9.33 HP%]~[18.95 DEF%]~[7.39 CR]~[5.25 ATK%]-[46.60 ATK%]~[19.82 HP%]~[23.15 DEF]~[18.65 EM]~[10.36 ER]-[46.60 ATK%]~[6.99 CD]~[16.32 EM]~[8.74 HP%]~[18.77 ER]]|sum:3236409.4216249036|mean:10788.031405416345
best_fitness:22320.363672185347|best_individual:[[4780.00 HP]~[5.44 CR]~[5.25 HP%]~[13.59 ER]~[37.30 EM]-[311.00 ATK]~[60.61 EM]~[5.83 HP%]~[10.88 CD]~[8.74 ATK%]-[187.00 EM]~[9.33 HP%]~[18.95 DEF%]~[7.39 CR]~[5.25 ATK%]-[46.60 ATK%]~[19.82 HP%]~[23.15 DEF]~[18.65 EM]~[10.36 ER]-[46.60 ATK%]~[6.99 CD]~[16.32 EM]~[8.74 HP%]~[18.77 ER]]|sum:3325729.919771589|mean:11085.76639923863
best_fitness:22320.363672185347|best_individual:[[4780.00 HP]~[5.44 CR]~[5.25 HP%]~[13.59 ER]~[37.30 EM]-[311.00 ATK]~[60.61 EM]~[5.83 HP%]~[10.88 CD]~[8.74 ATK%]-[187.00 EM]~[9.33 HP%]~[18.95 DEF%]~[7.39 CR]~[5.25 ATK%]-[46.60 ATK%]~[19.82 HP%]~[23.15 DEF]~[18.65 EM]~[10.36 ER]-[46.60 ATK%]~[6.99 CD]~[16.32 EM]~[8.74 HP%]~[18.77 ER]]|sum:3324419.3148485366|mean:11081.39771616179
best_fitness:22320.363672185347|best_individual:[[4780.00 HP]~[5.44 CR]~[5.25 HP%]~[13.59 ER]~[37.30 EM]-[311.00 ATK]~[60.61 EM]~[5.83 HP%]~[10.88 CD]~[8.74 ATK%]-[187.00 EM]~[9.33 HP%]~[18.95 DEF%]~[7.39 CR]~[5.25 ATK%]-[46.60 ATK%]~[19.82 HP%]~[23.15 DEF]~[18.65 EM]~[10.36 ER]-[46.60 ATK%]~[6.99 CD]~[16.32 EM]~[8.74 HP%]~[18.77 ER]]|sum:3299122.6802355414|mean:10997.075600785138
best_fitness:22320.363672185347|best_individual:[[4780.00 HP]~[5.44 CR]~[5.25 HP%]~[13.59 ER]~[37.30 EM]-[311.00 ATK]~[60.61 EM]~[5.83 HP%]~[10.88 CD]~[8.74 ATK%]-[187.00 EM]~[9.33 HP%]~[18.95 DEF%]~[7.39 CR]~[5.25 ATK%]-[46.60 ATK%]~[19.82 HP%]~[23.15 DEF]~[18.65 EM]~[10.36 ER]-[46.60 ATK%]~[6.99 CD]~[16.32 EM]~[8.74 HP%]~[18.77 ER]]|sum:3257385.6969995303|mean:10857.952323331767
best_fitness:22320.363672185347|best_individual:[[4780.00 HP]~[5.44 CR]~[5.25 HP%]~[13.59 ER]~[37.30 EM]-[311.00 ATK]~[60.61 EM]~[5.83 HP%]~[10.88 CD]~[8.74 ATK%]-[187.00 EM]~[9.33 HP%]~[18.95 DEF%]~[7.39 CR]~[5.25 ATK%]-[46.60 ATK%]~[19.82 HP%]~[23.15 DEF]~[18.65 EM]~[10.36 ER]-[46.60 ATK%]~[6.99 CD]~[16.32 EM]~[8.74 HP%]~[18.77 ER]]|sum:3241196.3003254784|mean:10803.987667751595
best_fitness:22320.363672185347|best_individual:[[4780.00 HP]~[5.44 CR]~[5.25 HP%]~[13.59 ER]~[37.30 EM]-[311.00 ATK]~[60.61 EM]~[5.83 HP%]~[10.88 CD]~[8.74 ATK%]-[187.00 EM]~[9.33 HP%]~[18.95 DEF%]~[7.39 CR]~[5.25 ATK%]-[46.60 ATK%]~[19.82 HP%]~[23.15 DEF]~[18.65 EM]~[10.36 ER]-[46.60 ATK%]~[6.99 CD]~[16.32 EM]~[8.74 HP%]~[18.77 ER]]|sum:3212838.074003719|mean:10709.460246679062
best_fitness:22320.363672185347|best_individual:[[4780.00 HP]~[5.44 CR]~[5.25 HP%]~[13.59 ER]~[37.30 EM]-[311.00 ATK]~[60.61 EM]~[5.83 HP%]~[10.88 CD]~[8.74 ATK%]-[187.00 EM]~[9.33 HP%]~[18.95 DEF%]~[7.39 CR]~[5.25 ATK%]-[46.60 ATK%]~[19.82 HP%]~[23.15 DEF]~[18.65 EM]~[10.36 ER]-[46.60 ATK%]~[6.99 CD]~[16.32 EM]~[8.74 HP%]~[18.77 ER]]|sum:3206801.258629691|mean:10689.337528765636
best_fitness:22320.363672185347|best_individual:[[4780.00 HP]~[5.44 CR]~[5.25 HP%]~[13.59 ER]~[37.30 EM]-[311.00 ATK]~[60.61 EM]~[5.83 HP%]~[10.88 CD]~[8.74 ATK%]-[187.00 EM]~[9.33 HP%]~[18.95 DEF%]~[7.39 CR]~[5.25 ATK%]-[46.60 ATK%]~[19.82 HP%]~[23.15 DEF]~[18.65 EM]~[10.36 ER]-[46.60 ATK%]~[6.99 CD]~[16.32 EM]~[8.74 HP%]~[18.77 ER]]|sum:3220220.1148775946|mean:10734.067049591982
